Cliente,Grupo económico,Ventas Netas (USD),Provincia,Localidad,Cód. Postal de entrega,Direccion completa,Latitud,Longitud
ROMAN SERVICIOS S.A.,ROMAN SERVICIOS S.A.,13967.68,CAPITAL FEDERAL,CAPITAL FEDERAL,1104,"1104, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.5842746,-58.3778375
SOLUCIONES YA SRL,SOLUCIONES YA SRL,13814.56,ENTRE RIOS,PARANA,3100,"3100, PARANA, ENTRE RIOS, Argentina",-31.7185569,-60.5111033
AMERICAN VIAL S.R.L.,AMERICAN VIAL S.R.L.,13797.61,BUENOS AIRES,BELEN DE ESCOBAR,1625,"1625, BELEN DE ESCOBAR, BUENOS AIRES, Argentina",-34.3443367,-58.7977931
ROCCA RODOLFO F. Y MARCELO O. SRL,ROCCA RODOLFO F. Y MARCELO O. SRL,13418.95,BUENOS AIRES,GRAL RODRIGUEZ,1748,"1748, GRAL RODRIGUEZ, BUENOS AIRES, Argentina",,
"MANGNUS TRADE LOGISTIC S.A., .","MANGNUS TRADE LOGISTIC S.A., .",13416.29,BUENOS AIRES,CIUDAD AUTONOMA BUENOS AIRES,1057,"1057, CIUDAD AUTONOMA BUENOS AIRES, BUENOS AIRES, Argentina",-34.597766,-58.379222
TRANSPORTE DJC S.R.L.,TRANSPORTE DJC S.R.L.,12956.42,CAPITAL FEDERAL,CAPITAL FEDERAL,1001,"1001, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.5954843,-58.3736099
F.M. ALQ. S.A,F.M. ALQ. S.A,12796.03,BUENOS AIRES,CABA,1426,"1426, CABA, BUENOS AIRES, Argentina",-34.5702521,-58.4447041
"SACHETTO, JORGE OMAR","SACHETTO, JORGE OMAR",12780.51,BUENOS AIRES,SAN MARCOS SUD,2566,"2566, SAN MARCOS SUD, BUENOS AIRES, Argentina",,
"SILVESTRINI ERNESTO ALEJANDRO Y SILVESTRINI RENZO , NAZARENO SOCIEDAD SIMPLE","SILVESTRINI ERNESTO ALEJANDRO Y SILVESTRINI RENZO , NAZARENO SOCIEDAD SIMPLE",12774.77,CORDOBA,SAN FRANCISCO,2400,"2400, SAN FRANCISCO, CORDOBA, Argentina",-31.4281966,-62.0877591
LUIS LOSI S A,LUIS LOSI S A,12476.06,ENTRE RIOS,PARANA,3100,"3100, PARANA, ENTRE RIOS, Argentina",-31.7185569,-60.5111033
"AMAYA , JUAN RAMON","AMAYA , JUAN RAMON",12089.37,BUENOS AIRES,JOSE CLEMENTE PAZ,1665,"1665, JOSE CLEMENTE PAZ, BUENOS AIRES, Argentina",-34.6824218,-58.528385
TRANSPORTES MALVINAS S.R.L.,TRANSPORTES MALVINAS S.R.L.,11868.27,BUENOS AIRES,OLAVARRIA,1067,"1067, OLAVARRIA, BUENOS AIRES, Argentina",-34.6388144,-58.3672567
C Y E CONSTRUCCIONES S.A.,C Y E CONSTRUCCIONES S.A.,11551.69,CAPITAL FEDERAL,CAPITAL FEDERAL,1648,"1648, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
"JAB COMERCIO EXTERIOR Y ADUANA S.R.L., .","JAB COMERCIO EXTERIOR Y ADUANA S.R.L., .",11483.54,CAPITAL FEDERAL,CAPITAL FEDERAL,1071,"1071, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6156157,-58.3790638
IANNO MARIA DEL CARMEN,IANNO MARIA DEL CARMEN,11243.24,SANTA FE,ROSARIO NORTE,2000,"2000, ROSARIO NORTE, SANTA FE, Argentina",,
VIA BARILOCHE SA,VIA BARILOCHE,11212.49,CAPITAL FEDERAL,CAPITAL FEDERAL,1613,"1613, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
AURELIA RENTAL S.A.,AURELIA RENTAL S.A.,10966.18,CAPITAL FEDERAL,CAPITAL FEDERAL,1667,"1667, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
"LEDESMA S.A. AGRICOLA IND.   , .","LEDESMA S.A. AGRICOLA IND.   , .",10897.77,CAPITAL FEDERAL,CAPITAL FEDERAL,4600,"4600, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
"CESAR, MAXIMIANI JULIO","CESAR, MAXIMIANI JULIO",10781.72,ENTRE RIOS,CHAJARI,3228,"3228, CHAJARI, ENTRE RIOS, Argentina",-30.7583875,-57.9798896
G.V.H MINERIA S.R.L,G.V.H MINERIA S.R.L,10750.73,SALTA,SAN ANTONIO DE LOS COBRES,4411,"4411, SAN ANTONIO DE LOS COBRES, SALTA, Argentina",-24.2179014,-66.3214478
"BENITO ROGGIO E HIJOS SA -TECSAN ING.AMB. SA UTE, .",GRUPO CLIBA,10652.6,CAPITAL FEDERAL,CAPITAL FEDERAL,1655,"1655, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.5896696,-58.3933676
